slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
algorand-metrics-dashboard-mainnet,Algorand,,"[""[Dashboard](https://algorand.co/metrics)""]",mainnet,"[""Transactions"",""Network Metrics"",""Active Addresses"",""Block Data"",""Performance Metrics""]",TRUE,,"[""Real-time Metrics API"",""Network Status API""]",$0,,Free,FALSE,
allo-mainnet,Allo,,"[""[Dashboard](https://metrics.allo.info/)""]",mainnet,"[""Transactions"",""Assets"",""Apps"",""Blocks"",""Accounts"",""NFDomains"",""TEAL Contracts""]",TRUE,,"[""TEAL Inspector API"",""Account API"",""Asset API""]",$0,,Free,FALSE,
coinexams-mainnet,CoinExams,,"[""[Dashboard](https://coinexams.com/utility/algorand)""]",mainnet,"[""Crypto Utility Metrics"",""Network Functionality"",""Token Utility Evaluation"",""Fees""]",TRUE,,"[""Utility Scores API""]",$0,,Free,FALSE,
coingecko-api-analyst,,!offer:coingecko-api-analyst,,mainnet,,,,,,,,,
coingecko-api-basic,,!offer:coingecko-api-basic,,mainnet,,,,,,,,,
coingecko-api-lite,,!offer:coingecko-api-lite,,mainnet,,,,,,,,,
cryptoquant-mainnet-advanced,,!offer:cryptoquant-advanced,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-basic,,!offer:cryptoquant-basic,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoslam-mainnet,Cryptoslam,,"[""[Dashboard](https://www.cryptoslam.io/blockchains/algorand)""]",mainnet,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,,"[""NFT Sales Data API""]",$0,,Free,FALSE,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/Algorand)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/Algorand)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/Algorand)""]",mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/algorand)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/token-god-mode?tokenAddress=ALGO&chain=hyperliquid&tab=transactions)""]",mainnet,,,,,,,,,
pera-mainnet,Pera,,"[""[Dashboard](https://explorer.perawallet.app/)""]",mainnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,
pera-testnet,Pera,,"[""[Dashboard](https://testnet.explorer.perawallet.app/)""]",testnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,,,,,,
vestige-mainnet,Vestige,,"[""[Dashboard](https://vestige.fi/asset/0)""]",mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,,"[""DeFi Analytics API""]",$0,,Free,FALSE,
