slug,provider,offer,actionButtons,chain,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
across-mainnet,,!offer:across,,mainnet,,,,,,,,,,,,,,,,,,
axelar-mainnet,,!offer:axelar,,mainnet,,,,,,,,,,,,,,,,,,
hyperlane-mainnet,,!offer:hyperlane,,mainnet,,,,,,,,,,,,,,,,,,
interport-mainnet,,!offer:interport,,mainnet,,,,,,,,,,,,,,,,,,
jumper-mainnet,,!offer:jumper,,mainnet,,,,,,,,,,,,,,,,,,
layerswap-mainnet,,!offer:layerswap,,mainnet,,,,,,,,,,,,,,,,,,
meson-mainnet,,!offer:meson,,mainnet,,,,,,,,,,,,,,,,,,
orbiter-mainnet,,!offer:orbiter,,mainnet,,,,,,,,,,,,,,,,,,
owlto-mainnet,,!offer:owlto,,mainnet,,,,,,,,,,,,,,,,,,
rubic-mainnet,,!offer:rubic,,mainnet,,,,,,,,,,,,,,,,,,
smolrefuel-mainnet,,!offer:smolrefuel,,mainnet,,,,,,,,,,,,,,,,,,
squid-mainnet,,!offer:squid,,mainnet,,,,,,,,,,,,,,,,,,
stargate-mainnet,,!offer:stargate,,mainnet,,,,,,,,,,,,,,,,,,
superbridge-mainnet,,!offer:superbridge,,mainnet,,,,,,,,,,,,,,,,,,
symbiosis-mainnet,,!offer:symbiosis,,mainnet,,,,,,,,,,,,,,,,,,
transporter-mainnet,,!offer:transporter,,mainnet,,,,,,,,,,,,,,,,,,
