slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
3xpl-mcp,Exekerey,,"[""[Website](https://github.com/exekerey/3xpl-mcp)"",""[Docs](https://github.com/exekerey/3xpl-mcp#readme)""]",explorers,Self-hosted,stdio,,None,FALSE,FALSE,"[""explorer-query"",""transaction-lookup"",""address-lookup""]","[""block explorer"",""multi-chain"",""on-chain data"",""AI agents""]","MCP server for querying blockchain explorer data across multiple blockchains via the 3xpl API",Free,,$0,FALSE,FALSE
aibtc-mcp-server,Aibtc,,"[""[Website](https://github.com/aibtcdev/aibtc-mcp-server)"",""[Docs](https://github.com/aibtcdev/aibtc-mcp-server#readme)""]",services,Self-hosted,stdio,,API Key,TRUE,TRUE,"[""wallet-management"",""defi-yield"",""sbtc-operations"",""nft-operations"",""x402-payments""]","[""Bitcoin"",""Stacks"",""DeFi"",""sBTC"",""NFT"",""x402"",""AI agents""]","Bitcoin-native MCP server for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments",Free,,$0,FALSE,FALSE
chainstack-rpc-nodes-mcp,Chainstack,,"[""[Website](https://github.com/chainstacklabs/rpc-nodes-mcp)"",""[Docs](https://docs.chainstack.com/docs/platform-introduction)""]",apis,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""json-rpc-interaction"",""node-access""]","[""JSON-RPC"",""Blockchain nodes"",""Ethereum"",""Solana"",""AI agents""]","Minimal, fast, and extensible MCP server for interactions with JSON-RPC blockchain nodes",Free,,$0,FALSE,FALSE
cryptoapis-mcp-hub,CryptoAPIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-hub#readme)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""blockchain-data-query"",""address-monitoring"",""transaction-lookup""]","[""infrastructure"",""multi-chain"",""APIs"",""AI agents""]","CryptoAPIs MCP hub providing blockchain data tools for AI agents across multiple networks",Free,,$0,FALSE,FALSE
evm-mcp-server,MCP.direct,,"[""[Website](https://github.com/mcpdotdirect/evm-mcp-server)"",""[Docs](https://github.com/mcpdotdirect/evm-mcp-server#readme)""]",smart-contract,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""evm-read"",""transaction-send"",""contract-interaction""]","[""EVM"",""multi-chain"",""smart contracts"",""AI agents""]","MCP server that provides tools for interacting with EVM networks",Free,,$0,FALSE,FALSE
mcp-etherscan-server,CrazyRabbitLTC,,"[""[Website](https://github.com/crazyrabbitLTC/mcp-etherscan-server)"",""[Docs](https://github.com/crazyrabbitLTC/mcp-etherscan-server#readme)""]",explorers,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""eth-balance-check"",""transaction-history"",""contract-abi-fetch""]","[""Ethereum"",""Etherscan"",""on-chain data"",""AI agents""]","MCP server exposing Ethereum data tools through the Etherscan API",Free,,$0,FALSE,FALSE
nodit-mcp-server,Nodit,,"[""[Website](https://github.com/noditlabs/nodit-mcp-server)"",""[Docs](https://developer.nodit.io/)""]",apis,Self-hosted,stdio,,API Key,FALSE,FALSE,"[""blockchain-data-query"",""node-api-access""]","[""Blockchain data"",""Node API"",""Multi-chain"",""On-chain data"",""AI agents""]","MCP server for AI agents to interact with blockchain data via Nodit's Web3 Data and Node APIs, enabling LLMs to access structured multi-chain blockchain context with zero blockchain-specific logic",Free,,$0,FALSE,FALSE
portals-mcp-server,Portals Protocol,,"[""[Website](https://github.com/portalsprotocol/mcp-server)"",""[Docs](https://github.com/portalsprotocol/mcp-server#readme)""]",services,Self-hosted,stdio,,None,FALSE,TRUE,"[""defi-tool-access"",""solana-defi""]","[""Solana"",""DeFi"",""AI agents""]","MCP server for Portals Protocol to give AI agents access to decentralized tools on Solana",Free,,$0,FALSE,FALSE
solana-mcp-agent-kit,SolanaMCP,,"[""[Website](https://github.com/solanamcp/solana-mcp)"",""[Docs](https://github.com/solanamcp/solana-mcp#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,TRUE,"[""wallet-management"",""transaction-execution"",""solana-operations""]","[""Solana"",""wallet"",""agent kit"",""AI agents""]","Solana Agent Kit MCP server for wallet and transaction workflows on Solana",Free,,$0,FALSE,FALSE
solana-mcp-server-opensvm,OpenSVM,,"[""[Website](https://github.com/openSVM/solana-mcp-server)"",""[Docs](https://github.com/openSVM/solana-mcp-server#readme)""]",apis,Self-hosted,stdio,,None,FALSE,TRUE,"[""solana-rpc"",""transaction-send"",""account-query""]","[""Solana"",""RPC"",""on-chain actions"",""AI agents""]","Solana MCP server enabling Solana RPC method access for AI agents",Free,,$0,FALSE,FALSE
solx402-mcp-server,Leandro Gavidia,,"[""[Website](https://github.com/leandrogavidia/solx402-mcp-server)"",""[Docs](https://github.com/leandrogavidia/solx402-mcp-server#readme)""]",wallets,Self-hosted,stdio,,None,TRUE,TRUE,"[""x402-payments"",""solana-payments""]","[""Solana"",""x402"",""payments"",""AI agents""]","MCP server enabling AI assistants to interact with x402 payment flows on Solana",Free,,$0,FALSE,FALSE
ucai,UCAI,,"[""[Website](https://github.com/nirholas/UCAI)"",""[Docs](https://github.com/nirholas/UCAI#readme)""]",smart-contract,Self-hosted,stdio,,None,FALSE,TRUE,"[""abi-to-mcp-generation"",""smart-contract-interaction""]","[""ABI"",""Smart contracts"",""EVM"",""DeFi"",""AI agents""]","Universal Contract AI Interface - open standard for connecting AI agents to blockchain via ABI-to-MCP server generation for smart contracts on EVM chains",Free,,$0,FALSE,FALSE
universal-crypto-mcp,Nirholas,,"[""[Website](https://github.com/nirholas/universal-crypto-mcp)"",""[Docs](https://github.com/nirholas/universal-crypto-mcp#readme)""]",services,Self-hosted,stdio,,API Key,FALSE,TRUE,"[""swap"",""bridge"",""staking"",""lending""]","[""EVM"",""DeFi"",""multi-chain"",""AI agents""]","Universal MCP server for AI agents to interact with multiple EVM blockchains via plugins",Free,,$0,FALSE,FALSE
wallet-agent,Wallet Agent,,"[""[Website](https://github.com/wallet-agent/wallet-agent)"",""[Docs](https://github.com/wallet-agent/wallet-agent#readme)""]",wallets,Self-hosted,stdio,,None,FALSE,TRUE,"[""wallet-management"",""transaction-execution""]","[""Wallet"",""EVM"",""Wagmi"",""Web3"",""AI agents""]","MCP server for Web3 wallet interactions on EVM-compatible chains, enabling AI agents to manage wallets and execute transactions",Free,,$0,FALSE,FALSE
wallet-inspector-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/wallet-inspector-mcp)"",""[Docs](https://github.com/kukapay/wallet-inspector-mcp#readme)""]",analytics,Self-hosted,stdio,,None,FALSE,FALSE,"[""wallet-balance-inspection"",""wallet-activity-inspection""]","[""wallet analytics"",""EVM"",""Solana"",""AI agents""]","MCP server for inspecting wallet balances and on-chain activity across major EVM chains and Solana",Free,,$0,FALSE,FALSE
