slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
0xcert,0xCert,0xcert.png,"Provides a comprehensive suite of tools for building decentralized applications that manage digital assets, specifically non-fungible tokens and fungible tokens, across multiple blockchains",,,,0xcert/framework,,,,,FALSE,
0xppl,0xPPL,0xppl.png,Provides explorer services for Web3 developers and users.,https://0xppl.com/,,,,,,,,FALSE,
0xrpc,0xrpc,0xrpc.png,Provides API infrastructure for Web3 developers and users.,https://0xrpc.github.io/,https://0xrpc.github.io/,,,,,,,FALSE,
1inch,1inch,1inch.png,"DEX aggregator and DeFi protocol suite that routes token swaps across multiple decentralized exchanges to find optimal rates, supporting swaps across 13+ networks.",https://1inch.com/,,1inch,1inch,,,,,FALSE,
1rpc,1rpc,1rpc.png,Provides API infrastructure for Web3 developers and users.,https://www.1rpc.io,https://docs.1rpc.io/llm-relay/overview,,,,,,,FALSE,
2miners,2Miners,2miners.png,User-friendly Zcash mining pool with regular payouts and robust monitoring tools,https://2miners.com/,,,,,,,,FALSE,
3xpl,3xpl,3xpl.png,Provides explorer services for Web3 developers and users.,https://3xpl.com/,,3xplcom,3xplcom,,,,,FALSE,
4everland,4everland,4everland.png,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications",https://www.4everland.org/,https://docs.4everland.org/get-started/billing-and-pricing/pricing-model,,,,,,,FALSE,
99faucet,99faucet,99faucet.png,Provides faucet services for Web3 developers and users.,https://99faucet.com/,,,,,,,,FALSE,
aa-bundler,AA Bundler,aa-bundler.png,"It is a specialized node that collects, validates, and bundles pseudo-transaction objects called UserOperations from an alternative mempool into a single transaction that is then submitted to an on-chain EntryPoint contract",,,,Vid201/aa-bundler,,,,,FALSE,
aarc,Aarc,aarc.png,"It offers a modular, omnichain network and infrastructure for Web3 applications, focusing on simplifying user onboarding and managing multi-chain deposits.",https://www.aarc.xyz/,https://docs.aarc.xyz/introduction,,,,,,,FALSE,
abi-parser,ABI Parser,abi-parser.png,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,https://abi-parser-nvk.vercel.app/,,,,,,,,FALSE,
account-smart-wallet,Account Smart Wallet,account-smart-wallet.png,With the Base Account SDK you can connect to over one hundred thousand users and unlock authentication and payments with just a few lines of code,https://docs.base.org/,https://docs.base.org/base-account/overview/what-is-base-account,,,,,,,FALSE,
across,Across,across.png,Provides cross-chain bridge services for Web3 developers and users.,https://across.to/,https://docs.across.to/,,,,,,,FALSE,
acurast,Acurast,acurast.png,Provides oracle services for Web3 developers and users.,https://acurast.com/,https://docs.acurast.com/,,,,,,,FALSE,
aibtc,Aibtc,aibtc.png,"Bitcoin-native MCP server platform for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments",https://github.com/aibtcdev/aibtc-mcp-server,,aibtcdev,aibtcdev/aibtc-mcp-server,,,,,FALSE,
airgap,AirGap,airgap.png,Provides wallet solutions for Web3 developers and users.,https://airgap.it/,,,,,,,,FALSE,
airtm,AirTM,airtm.png,Provides wallet solutions for Web3 developers and users.,https://www.airtm.com/,,,,,,,,FALSE,
alchemy,Alchemy,alchemy.png,"Blockchain developer platform providing APIs, SDKs, and infrastructure for building and scaling decentralized applications, with products covering RPC nodes, embedded wallets, and onchain data.",https://www.alchemy.com,https://www.alchemy.com/docs,AlchemyPlatform,alchemyplatform,,,,,FALSE,
alchemy-pay,Alchemy Pay,alchemy-pay.png,"Provides a fiat-crypto payment gateway that seamlessly connects crypto with traditional fiat currencies for businesses, developers, and users.",https://alchemypay.org/,,,,,,,,FALSE,
algorand,Algorand,algorand.png,"Official Algorand infrastructure and developer tooling, including the AlgoKit suite, for building, testing, and deploying applications",https://algorand.co/,https://dev.algorand.co/,,,,,,,FALSE,
allbridge-core,Allbridge Core,allbridge-core.png,Provides cross-chain bridge services for Web3 developers and users.,https://allbridge.io/,https://docs-core.allbridge.io/,,,,,,,FALSE,
alldomains,AllDomains,alldomains.png,Provides cross-chain bridge services for Web3 developers and users.,https://alldomains.id/,https://docs.alldomains.id/protocol,,,,,,,FALSE,
allo,Allo,allo.png,Provides analytics products and explorer services for Web3 developers and users.,https://allo.info/,,,,,,,,FALSE,
allthatnode,AllThatNode,allthatnode.png,Provides API infrastructure for Web3 developers and users.,https://www.allthatnode.com,https://docs.allthatnode.com/docs/welcome-to-all-that-node,,,,,,,FALSE,
